Prompt_ID,Day,Time,ChatGPT_Model,Problem_ID,Problem_Type,Difficulty,Language,Runtime (ms),Memory_Usage (mb),Iteration,Success,Percentile runtime,Percentile memory,Acceptance rate,GitHub_ID,wifi
1,2023-03-31,14.10,GPT4,1. Two Sum,Array,Easy,C++,10,11,1,Yes,86.18%,27.76%,49.7%,1,
1,2023-03-31,16.29,GPT4,26. Remove Duplicates from Sorted Array,Array,Easy,C++,11,18.4,1,Yes,77.46%,49.77%,51.5%,26,
1,2023-03-31,16.35,GPT4,88. Merge Sorted Array,Array,Easy,C++,0,9.1,1,Yes,100.0%,76.70%,46.6%,88,
1,2023-03-31,16.39,GPT4,34. Find First and Last Position of Element in Sorted Array,Array,Medium,C++,12,13.7,1,Yes,35.72%,23.77%,41.9%,34,
1,2023-03-31,16.44,GPT4,128. Longest Consecutive Sequence,Array,Medium,C++,115,49.8,1,Yes,80.82%,60.29%,48.5%,128,
1,2023-03-31,16.51,GPT4,204. Count Primes,Array,Medium,C++,287,10.1,1,Yes,32.90%,99.3%,33.1%,204,
1,2023-03-31,16.55,GPT4,4. Median of Two Sorted Arrays,Array,Hard,C++,51,89.4,1,Yes,30.47%,56.22%,36.2%,4,
1,2023-03-31,17.01,GPT4,140. Word Break II,Array,Hard,C++,0,7.4,1,Yes,100.0%,29.40%,45.3%,140,
1,2023-03-31,17.05,GPT4,336. Palindrome Pairs,Array,Hard,C++,2996,572.8,1,Yes,5.10%,52.79%,35.0%,336,
,,,,,,,,,,,,,,,,
1,2023-04-02,17.18,GPT4,28. Find the Index of the First Occurrence in a String,String,Easy,C++,0,6.3,1,Yes,100.0%,71.20%,39.1%,28,
1,2023-04-02,17.24,GPT4,58. Length of Last Word,String,Easy,C++,2,6.4,1,Yes,53.74%,99.63%,42.9%,58,
1,2023-04-02,17.30,GPT4,125. Valid Palindrome,String,Easy,C++,6,7.4,1,Yes,56.71%,60.74%,44.4%,125,
1,2023-04-02,17.37,GPT4,3. Longest Substring Without Repeating Characters,String,Medium,C++,22,8.3,1,Yes,55.86%,64.86%,33.8%,3,
1,2023-04-02,17.40,GPT4,151. Reverse Words in a String,String,Medium,C++,3,8.1,1,Yes,88.76%,50.69%,32.8%,151,
1,2023-04-02,17.45,GPT4,43. Multiply Strings,String,Medium,C++,13,6.9,1,Yes,33.60%,42.96%,39.2%,43,
1,2023-04-02,17.51,GPT4,301. Remove Invalid Parentheses,String,Hard,C++,-,-,1,No,-,-,47.2%,301,
1,2023-04-02,17.54,GPT4,301. Remove Invalid Parentheses,String,Hard,C++,1038,109.3,2,Yes,14.22%,17.45%,47.2%,301,
1,2023-04-02,17.59,GPT4,10. Regular Expression Matching,String,Hard,C++,3,6.8,1,Yes,86.84%,73.73%,28.0%,10,
1,2023-04-02,18.03,GPT4,214. Shortest Palindrome,String,Hard,C++,4,7.9,1,Yes,64.68%,53.9%,32.3%,214,
,,,,,,,,,,,,,,,,
1,2023-04-02,18.18,GPT4,217. Contains Duplicate,Sorting,Easy,C++,137,69.5,1,Yes,67.28%,52.24%,61.4%,217,
1,2023-04-02,18.23,GPT4,169. Majority Element,Sorting,Easy,C++,28,19.6,1,Yes,16.43%,38.28%,63.9%,169,
1,2023-04-02,18.29,GPT4,389. Find the Difference,Sorting,Easy,C++,5,6.6,1,Yes,39.40%,91.87%,59.9%,389,
1,2023-04-02,18.34,GPT4,75. Sort Colors,Sorting,Medium,C++,3,8.4,1,Yes,53.61%,32.8%,58.5%,75,
1,2023-04-02,18.39,GPT4,179. Largest Number,Sorting,Medium,C++,4,11.5,1,Yes,89.58%,53.93%,34.6%,179,
1,2023-04-02,18.43,GPT4,611. Valid Triangle Number,Sorting,Medium,C++,105,13.0,1,Yes,67.38%,61.31%,50.5%,611,
1,2023-04-02,18.48,GPT4,164. Maximum Gap,Sorting,Hard,C++,184,89.9,1,Yes,90.39%,24.10%,43.3%,164,
1,2023-04-02,18.53,GPT4,899. Orderly Queue,Sorting,Hard,C++,3,12.0,1,Yes,71.47%,13.79%,66.3%,899,
1,2023-04-02,18.59,GPT4,220. Contains Duplicate III,Sorting,Hard,C++,182,79.1,1,Yes,95.94%,55.30%,22.1%,220,
,,,,,,,,,,,,,,,,
1,2023-04-04,12.51,GPT4,9. Palindrome Number,Math,Easy,C++,-,-,1,No,-,-,53.5%,9,
1,2023-04-04,12.53,GPT4,9. Palindrome Number,Math,Easy,C++,7,5.8,2,Yes,95.72%,85.55%,53.5%,9,
1,2023-04-04,13.01,GPT4,66. Plus One,Math,Easy,C++,3,8.9,1,Yes,55.75%,17.7%,43.7%,66,
1,2023-04-04,13.10,GPT4,"69. Sqrt(x)
",Math,Easy,C++,0,6.0,1,Yes,100.0%,63.65%,37.4%,69,
1,2023-04-04,13.16,GPT4,"7. Reverse Integer
",Math,Medium,C++,0,6.0,1,Yes,100.0%,12.1%,27.4%,7,
1,2023-04-04,13.21,GPT4,189. Rotate Array,Math,Medium,C++,30,25.0,1,Yes,75.63%,61.45%,39.4%,189,
1,2023-04-04,13.30,GPT4,792. Number of Matching Subsequences,Math,Medium,C++,-,-,1,No,-,-,51.6%,792,
